id	subject	item	tasktype	translation_type	len_sl_chr	len_tl_chr	len_sl_wrd	len_tl_wrd	edit_time	k_total	k_letter	k_digit	k_white	k_symbol	k_nav	k_erase	k_copy	k_cut	k_paste	k_do	np_300	lp_300	np_1000	lp_1000	ev_time_ms	num_annotations
wbreaker-001-ht-1	T1	wbreaker-0011	ht	ht	49	41	7	6	96.063	93	67	0	10	1	15	0	0	0	0	0	13	84248	7	80343	96063	1
wbreaker-001-ht-2	T1	wbreaker-0012	ht	ht	60	72	8	14	55.429	154	99	0	21	4	0	30	0	0	0	0	22	30331	7	22304	55429	2
wbreaker-001-ht-3	T1	wbreaker-0013	ht	ht	43	38	9	10	92.708	50	30	0	11	3	0	6	0	0	0	0	5	79107	1	75939	92708	2
wbreaker-001-ht-4	T1	wbreaker-0014	ht	ht	106	83	19	17	48.599	95	68	0	16	5	0	6	0	0	0	0	15	35072	7	30835	48599	1
wbreaker-001-ht-5	T1	wbreaker-0015	ht	ht	85	104	16	18	124.747	126	93	0	19	4	0	10	0	0	0	0	20	87618	9	81272	124747	1
wbreaker-001-ht-6	T1	wbreaker-0016	ht	ht	39	51	7	10	51.301	168	84	0	17	3	0	64	0	0	0	0	21	26585	7	18643	51301	1
wbreaker-001-ht-7	T1	wbreaker-0017	ht	ht	28	20	5	4	51	60	41	0	8	2	0	9	0	0	0	0	11	43037	4	39699	51000	1
wbreaker-001-ht-8	T1	wbreaker-0018	ht	ht	27	27	5	5	20.544	35	29	0	4	1	0	1	0	0	0	0	5	9099	1	6920	20544	1
wbreaker-001-ht-9	T1	wbreaker-0019	ht	ht	57	53	12	11	38.94	60	45	0	10	1	0	4	0	0	0	0	8	11924	5	9954	38940	1
wbreaker-001-ht-10	T1	wbreaker-00110	ht	ht	47	46	6	6	20.734	48	33	0	5	9	0	1	0	0	0	0	12	11097	3	5478	20734	1
wbreaker-002-mt1-1	T1	wbreaker-0021	mt1	pe	45	54	7	8	8.193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8193	1
wbreaker-002-mt1-2	T1	wbreaker-0022	mt1	pe	79	75	16	15	21.847	77	21	0	6	0	30	20	0	0	0	0	11	14519	4	12000	21847	1
wbreaker-002-mt1-3	T1	wbreaker-0023	mt1	pe	51	53	10	10	35.906	61	21	0	4	0	19	17	0	0	0	0	12	22225	5	18307	35906	1
wbreaker-002-mt1-4	T1	wbreaker-0024	mt1	pe	101	113	20	22	57.191	47	10	0	1	1	18	17	0	0	0	0	10	50476	4	47690	57191	1
wbreaker-002-mt1-5	T1	wbreaker-0025	mt1	pe	53	53	8	8	81.831	109	31	0	6	2	36	34	0	0	0	0	16	73921	7	69640	81831	1
wbreaker-002-mt1-6	T1	wbreaker-0026	mt1	pe	71	62	13	11	5.693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5693	1
wbreaker-002-mt1-7	T1	wbreaker-0027	mt1	pe	63	64	11	10	29.47	101	37	0	5	2	12	45	0	0	0	0	10	11690	3	8363	29470	1
wbreaker-002-mt1-8	T1	wbreaker-0028	mt1	pe	96	104	15	19	39.69	18	10	0	2	1	0	5	0	0	0	0	6	30834	2	28846	39690	1
wbreaker-002-mt1-9	T1	wbreaker-0029	mt1	pe	108	92	22	20	86.955	154	32	0	9	1	65	47	0	0	0	0	22	62300	8	54837	86955	1
wbreaker-002-mt1-10	T1	wbreaker-00210	mt1	pe	13	17	1	3	15.231	22	17	0	2	0	0	3	0	0	0	0	3	10293	1	9099	15231	1
wbreaker-003-mt2-1	T1	wbreaker-0031	mt2	pe	41	57	7	9	55.806	48	27	0	5	1	0	15	0	0	0	0	10	38190	2	33929	55806	1
wbreaker-003-mt2-2	T1	wbreaker-0032	mt2	pe	26	33	6	7	5.827	6	4	0	1	0	0	1	0	0	0	0	2	2238	1	1844	5827	1
wbreaker-003-mt2-3	T1	wbreaker-0033	mt2	pe	41	49.5416666667	7	7.9722222222	79.2063055556	129.8333333333	62.6388888889	0	10.25	0.5694444444	18.7916666667	37.5833333333	0	0	0	0	16.5138888889	49787.0972222222	6.2638888889	44660.3888888889	79206.3055555556	3
wbreaker-003-mt2-4	T1	wbreaker-0034	mt2	pe	31	37.4583333333	5	6.0277777778	59.8876944444	98.1666666667	47.3611111111	0	7.75	0.4305555556	14.2083333333	28.4166666667	0	0	0	0	12.4861111111	37643.9027777778	4.7361111111	33767.6111111111	59887.6944444444	2
wbreaker-003-mt2-5	T1	wbreaker-0035	mt2	pe	103	102	18	19	64.482	96	15	0	4	0	68	9	0	0	0	0	6	25020	3	23857	64482	1
wbreaker-003-mt2-6	T1	wbreaker-0036	mt2	pe	153	174	25	28	169.305	249	72	0	14	1	100	62	0	0	0	0	33	139793	14	129805	169305	2
wbreaker-003-mt2-7	T1	wbreaker-0037	mt2	pe	123	139	24	26	56.574	53	26	0	7	0	17	3	0	0	0	0	5	46344	4	45834	56574	1
wbreaker-003-mt2-8	T1	wbreaker-0038	mt2	pe	124	152	20	25	181.72	171	70	0	12	2	24	63	0	0	0	0	23	150241	12	144111	181720	1
wbreaker-003-mt2-9	T1	wbreaker-0039	mt2	pe	171	177	27	29	166.561	112	38	0	6	0	44	24	0	0	0	0	18	152369	8	147201	166561	1
wbreaker-003-mt2-10	T1	wbreaker-00310	mt2	pe	81	99	15	18	119.591	205	70	0	14	1	34	86	0	0	0	0	22	105688	5	96830	119591	1
wbreaker-004-ht-1	T1	wbreaker-0041	ht	ht	103	111	17	20	157.055	132	100	0	21	3	0	8	0	0	0	0	19	133017	10	127859	157055	1
wbreaker-004-ht-2	T1	wbreaker-0042	ht	ht	37	34	7	6	13.956	39	29	0	5	2	0	3	0	0	0	0	7	7633	2	5451	13956	1
wbreaker-004-ht-3	T1	wbreaker-0043	ht	ht	42	43	8	8	51.213	143	74	0	13	2	8	46	0	0	0	0	13	35297	4	31016	51213	1
wbreaker-004-ht-4	T1	wbreaker-0044	ht	ht	84	75	17	12	135.537	91	73	0	13	4	0	1	0	0	0	0	16	99134	10	96573	135537	1
wbreaker-004-ht-5	T1	wbreaker-0045	ht	ht	99	104	20	18	122.137	246	142	0	29	4	0	71	0	0	0	0	34	66151	13	55254	122137	2
wbreaker-004-ht-6	T1	wbreaker-0046	ht	ht	80	87	17	15	30.507	101	76	0	15	3	0	7	0	0	0	0	8	7960	1	4656	30507	1
wbreaker-004-ht-7	T1	wbreaker-0047	ht	ht	45	33	8	5	25.582	48	35	0	5	2	0	6	0	0	0	0	8	6182	2	3199	25582	2
wbreaker-004-ht-8	T1	wbreaker-0048	ht	ht	17	23	3	4	52.795	100	28	0	5	1	41	25	0	0	0	0	10	44120	4	41465	52795	1
wbreaker-004-ht-9	T1	wbreaker-0049	ht	ht	79	78	14	13	107.79	94	76	0	12	3	0	3	0	0	0	0	14	85324	6	81144	107790	1
wbreaker-004-ht-10	T1	wbreaker-00410	ht	ht	117	117	22	25	163.832	205	113	0	32	4	26	30	0	0	0	0	29	130992	15	124492	163832	2
